,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
삽교,5,8,20,9,19,8,1,12,0,2,1,3,0
상동,5,17,21,6,9,7,4,7,0,4,1,6,0
상주,7,3,4,6,0,4,0,5,0,16,7,1,0
서경주,3,4,0,12,8,8,7,24,7,4,62,6,2
서광주,7,11,18,7,2,12,5,3,2,3,6,1,0
서대전,38,26,63,42,76,57,29,27,52,52,22,24,9
서빙고,9,8,7,21,31,19,17,14,6,10,4,7,8
서울,149,88,134,202,289,264,142,220,150,232,161,106,36
서정리,9,11,18,33,17,45,24,15,13,43,20,26,4
서천,2,11,12,5,11,7,3,11,2,3,2,1,1
석불,10,20,9,9,8,7,4,3,0,8,5,9,0
석포,1,4,6,6,4,5,1,2,1,13,3,2,1
선평,7,1,1,6,16,3,6,4,6,20,4,1,0
성환,14,16,27,22,22,43,10,17,18,30,21,19,4
센텀,10,1,10,30,45,141,28,16,2,10,12,9,3
소요산,19,52,28,33,44,48,34,33,28,42,34,32,12
소정리,3,4,7,8,14,9,27,2,0,4,0,1,0
송정,12,7,25,16,13,97,29,12,3,8,8,18,4
수색,13,21,9,34,31,29,12,29,6,22,21,12,3
수원,42,91,190,109,174,172,70,79,53,166,128,79,8
순천,52,31,40,38,7,48,16,18,4,9,6,4,1
승부,1,8,24,13,16,6,8,10,1,20,8,2,1
신경주,0,0,0,0,0,0,0,0,0,0,0,0,1
신기,3,4,4,6,2,6,3,2,1,18,9,2,1
신녕,3,3,3,5,5,6,2,5,1,12,5,4,1
신동,1,1,3,6,4,8,2,1,2,19,3,4,0
신례원,3,7,19,13,14,10,6,16,1,4,0,1,0
신림,14,10,5,7,7,4,8,14,4,19,11,1,1
신망리,8,21,5,4,1,8,0,4,9,9,0,2,0
신창,17,37,28,17,34,83,40,29,54,46,53,33,4
신창원,8,7,9,7,11,5,3,2,0,2,1,1,0
신탄리,19,63,10,24,9,16,1,21,28,7,8,1,4
신탄진,34,19,6,16,14,31,14,11,0,15,3,13,8
신태인,3,3,4,12,7,12,6,8,2,8,1,1,1
신해운대,32,11,44,77,32,162,48,21,6,12,14,15,4
심천,5,3,5,5,14,11,7,0,2,5,1,2,1
쌍룡,5,8,7,7,4,3,1,4,0,11,3,2,0
