,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
가평,21,35,52,64,88,112,129,138,141,150,160,171,173
각계,2,4,7,16,29,44,47,47,47,50,52,54,54
간석,14,18,29,33,41,58,60,67,76,87,92,99,99
강경,5,9,18,33,51,61,64,69,70,79,85,89,89
강릉,13,33,42,77,95,119,167,271,287,353,367,388,395
개포,1,8,14,18,21,26,27,28,29,42,43,44,44
건천,4,10,13,15,16,26,29,31,35,39,56,57,57
검암,27,48,74,150,191,301,322,370,384,399,411,424,427
경산,8,46,72,100,126,147,155,168,172,191,201,211,212
경주,20,60,82,121,154,187,219,240,242,254,312,356,415
계룡,12,16,36,60,91,121,152,160,163,181,183,200,206
고한,1,4,18,29,44,50,51,55,55,65,70,71,71
곡성,27,32,54,70,89,116,131,143,145,151,156,160,160
공주,0,0,0,10,91,130,156,173,180,185,191,199,201
광명,28,84,140,190,269,367,407,473,496,547,583,614,620
광양,8,20,40,51,59,88,97,112,113,117,121,124,124
광운대,26,64,216,258,331,384,392,419,469,529,556,591,597
광주송정,8,16,53,80,152,190,223,247,256,275,293,309,314
광주,14,20,51,80,131,164,181,192,202,222,227,243,245
광천,2,4,10,15,28,37,44,56,56,58,58,62,63
괴동,2,3,3,3,10,13,14,25,29,30,32,33,33
구례구,26,36,58,77,86,112,127,138,141,150,154,159,159
구리,27,42,74,107,135,180,191,206,209,235,242,284,292
구미,34,73,106,136,152,160,172,181,182,198,208,212,213
구포,15,21,47,83,120,173,196,216,228,241,249,255,255
군북,7,25,33,40,48,56,58,60,61,62,66,67,67
군산,7,23,37,46,62,73,82,95,96,101,102,103,104
극락강,5,8,11,18,24,33,38,40,42,52,53,56,58
기장,15,19,29,41,44,123,148,161,167,175,197,209,214
김유정,19,28,55,68,93,106,126,141,145,151,158,171,176
김제,2,6,17,34,57,70,79,85,102,118,123,147,148
김천구미,37,54,78,104,134,178,219,244,246,262,267,291,295
김천,12,27,42,67,83,98,107,117,119,147,162,165,165
나전,3,7,9,15,32,38,42,45,50,56,60,61,62
나주,3,7,30,40,90,157,198,207,211,224,226,246,247
남성현,1,2,8,16,23,32,37,38,39,44,46,48,48
남원,23,39,78,100,110,143,161,177,178,182,185,191,192
남창,13,24,33,39,44,61,77,94,106,124,249,303,305
남춘천,29,50,69,90,113,148,158,163,167,178,192,201,203
논산,12,15,33,60,87,114,141,153,166,183,185,189,191
능곡,6,14,25,76,108,148,177,214,237,290,343,366,387
능주,1,3,7,13,22,26,29,32,32,35,43,44,44
다시,1,6,9,14,19,28,35,36,38,42,43,44,44
단양,7,9,23,42,65,74,82,93,93,129,153,164,165
대광리,5,24,31,38,40,46,47,57,66,74,75,76,76
대구,26,53,98,128,182,208,217,226,232,250,261,279,279
대야,5,8,12,16,21,33,41,50,51,73,73,77,78
대전,32,70,124,185,295,347,393,949,1130,1246,1295,1351,1361
대천,7,21,40,53,73,84,87,102,104,108,110,112,113
덕소,10,16,31,54,90,127,144,160,172,198,219,243,250
덕정,7,21,42,54,63,92,98,118,121,136,150,160,162
덕하,8,10,16,20,24,39,51,63,67,77,135,157,158
도계,6,17,26,35,40,47,54,57,58,86,95,98,101
도고온천,8,18,37,45,58,65,69,75,82,104,110,116,116
도농,9,23,32,43,57,76,87,105,110,122,127,133,140
도라산,13,38,56,82,105,141,162,180,189,218,346,369,375
동대구,45,105,163,227,361,449,483,508,527,552,603,645,658
동두천,30,74,106,143,177,242,260,284,324,356,372,391,394
동두천중앙,10,24,43,69,78,105,122,144,151,166,177,187,188
동래,14,19,33,63,99,198,218,228,233,240,245,256,258
동백산,6,58,67,76,80,82,87,91,93,114,117,119,120
동인천,18,31,48,65,110,146,155,175,197,216,228,245,246
동해,37,48,59,85,94,98,117,127,136,213,219,225,226
동화,20,39,50,57,67,80,99,109,112,134,150,151,151
둔내,0,0,0,0,0,0,27,56,57,63,69,73,73
득량,9,11,26,32,39,45,46,48,49,50,52,54,54
마산,22,50,88,108,131,153,179,203,208,215,227,235,238
마석,19,32,55,67,86,104,116,126,128,134,144,161,165
만종,6,13,18,23,32,66,104,156,160,187,223,236,236
망상해변,5,10,13,25,37,40,41,47,47,53,54,56,56
망우,30,39,76,123,160,182,205,229,243,264,278,288,294
매곡,7,36,47,65,72,78,93,99,100,112,115,127,127
명봉,4,8,13,18,23,29,30,34,34,35,42,45,45
목포,4,11,51,69,89,128,161,189,203,216,222,243,244
몽탄,6,8,14,18,21,28,30,31,31,34,34,35,35
무안,1,4,13,18,21,30,31,36,36,41,41,42,42
묵호,9,12,16,23,29,32,35,45,47,89,94,100,101
문산,11,33,52,120,151,233,253,281,299,366,405,424,429
물금,4,6,10,52,75,94,96,103,103,113,120,127,130
민둥산,3,12,31,55,97,108,115,123,127,140,146,147,148
밀양,25,46,67,96,110,141,175,200,205,213,224,229,230
반곡,5,8,12,22,30,44,60,71,72,95,105,107,108
반성,3,19,30,40,45,49,52,57,58,59,66,70,70
백마고지,0,23,73,102,137,152,164,187,200,215,217,219,219
백양사,2,4,8,12,20,28,35,39,42,50,51,52,52
백운,9,15,25,32,41,60,66,75,80,91,100,107,108
벌교,4,7,21,28,34,41,49,56,56,57,61,62,62
별어곡,4,5,8,18,38,40,43,44,52,55,63,65,66
보성,9,13,32,39,41,50,54,57,58,60,66,68,68
봉양,6,14,21,32,45,51,59,67,71,100,129,141,141
봉화,2,5,21,34,41,45,51,56,57,67,72,74,74
부강,4,14,17,27,39,49,63,68,68,85,88,93,93
부산,57,93,141,235,296,362,411,444,463,524,559,623,629
부전,32,54,79,105,128,300,343,376,397,425,448,464,467
북영천,5,8,15,22,30,38,47,57,62,79,84,87,87
북천,4,7,25,35,43,74,81,85,86,88,99,102,102
분천,2,6,37,52,62,65,70,81,83,105,118,123,124
불국사,7,10,22,27,33,45,47,55,58,63,85,89,90
비동,0,0,28,45,51,54,60,64,64,76,78,85,85
사곡,4,8,15,26,33,37,43,46,48,67,70,71,71
사북,4,5,13,28,30,37,38,42,42,51,58,60,60
사상,10,15,28,43,71,91,97,100,101,112,118,122,123
삼랑진,6,18,32,53,68,79,89,94,95,99,107,111,113
삼례,11,16,20,25,31,43,51,58,60,63,66,71,71
삼산,8,34,54,69,81,86,105,109,109,121,127,143,144
삼탄,2,6,8,11,20,28,46,46,46,53,58,59,59
삽교,5,13,33,42,61,69,70,82,82,84,85,88,88
상동,5,22,43,49,58,65,69,76,76,80,81,87,87
상주,7,10,14,20,20,24,24,29,29,45,52,53,53
서경주,3,7,7,19,27,35,42,66,73,77,139,145,147
서광주,7,18,36,43,45,57,62,65,67,70,76,77,77
서대전,38,64,127,169,245,302,331,358,410,462,484,508,517
