,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
가평,7,14,16,21,34,22,27,27,47,36,35,32,13
각계,0,0,0,0,12,15,8,28,13,18,25,20,15
간석,3,10,7,11,22,36,4,30,15,25,42,30,15
강경,0,3,11,1,19,15,12,16,16,23,16,13,7
강릉,13,15,19,21,36,40,127,201,60,118,147,104,19
개포,0,2,4,6,9,14,10,19,17,19,18,14,3
건천,3,0,4,2,15,13,6,21,21,26,57,14,7
검암,17,13,32,77,87,116,85,153,49,64,54,60,34
경산,0,20,19,15,32,59,43,60,29,45,51,82,12
경주,0,7,19,38,91,48,50,57,37,108,292,155,116
계룡,0,3,10,3,33,31,49,53,35,46,31,46,12
고한,1,1,4,5,14,5,4,16,11,30,10,9,6
곡성,2,2,12,22,35,33,42,34,32,64,40,22,13
공주,0,9,14,85,417,115,121,46,38,38,21,49,24
광명,0,34,56,90,164,246,217,291,226,192,184,188,59
광양,3,10,11,22,31,30,9,14,21,21,28,19,6
광운대,0,0,93,59,73,89,71,142,84,146,189,171,58
광주송정,0,0,23,40,174,129,116,132,128,157,118,110,44
광주,6,6,19,43,79,111,164,102,91,140,120,54,27
광천,3,1,5,3,9,14,12,14,16,29,19,17,14
괴동,4,2,6,3,17,9,26,4,12,16,7,6,2
구례구,10,3,17,13,43,34,9,30,28,44,47,38,45
구리,7,7,17,36,30,48,30,43,68,65,63,78,21
구미,2,45,23,21,63,44,53,58,59,60,88,83,45
구포,0,4,31,11,39,46,49,88,68,87,78,73,20
군북,0,8,10,10,26,14,6,22,19,26,19,43,7
군산,7,6,7,4,32,18,28,28,15,33,19,26,13
극락강,0,3,9,11,40,38,33,27,24,61,35,30,5
기장,0,4,18,7,53,113,84,51,42,53,119,76,46
김유정,5,18,16,11,24,27,23,33,28,32,27,30,18
김제,8,1,5,8,35,18,9,16,81,26,35,21,4
김천구미,28,16,32,17,79,107,76,83,90,105,106,91,32
김천,0,10,16,9,28,35,28,41,106,102,96,167,28
나전,3,0,5,3,12,21,16,7,3,16,8,20,3
나주,11,3,9,7,24,21,21,48,30,49,43,42,22
남성현,0,1,11,6,17,10,3,18,14,21,18,25,5
남원,13,4,9,8,43,25,13,22,30,40,28,28,12
남창,0,3,10,4,23,24,31,34,68,55,300,110,22
남춘천,18,11,15,14,28,38,22,44,48,48,41,37,17
논산,15,4,9,4,30,18,44,45,28,38,26,24,20
능곡,14,43,15,54,78,93,39,60,69,78,71,68,31
능주,3,2,8,9,24,10,2,8,8,22,24,9,9
다시,2,3,5,2,16,13,11,8,14,19,12,10,13
단양,3,1,6,16,22,11,19,20,31,70,72,39,14
대광리,2,9,3,5,12,12,6,23,31,35,18,14,5
대구,2,0,14,21,65,76,124,86,61,72,57,56,13
대야,2,2,6,7,29,27,16,12,16,86,16,19,5
대전,0,0,23,34,130,148,150,179,104,124,134,149,135
대천,6,2,5,8,25,17,16,8,12,25,23,30,17
덕소,11,7,11,25,28,26,47,71,67,97,61,122,18
덕정,3,20,27,28,19,46,61,82,50,98,66,55,22
덕하,3,3,12,4,23,22,16,37,50,49,229,71,11
도계,7,8,4,2,15,20,12,21,14,34,25,19,11
도고온천,2,5,4,7,11,9,17,5,16,33,20,27,9
도농,6,4,12,27,24,30,17,27,27,20,51,59,21
도라산,12,22,7,23,40,72,38,55,56,122,304,113,53
동대구,4,0,9,56,161,231,287,188,140,168,172,165,67
동두천,2,14,12,7,20,60,49,61,63,89,63,106,23
동두천중앙,4,14,12,16,18,39,25,46,24,54,43,77,19
동래,7,0,7,9,53,98,54,40,41,60,55,68,13
동백산,0,27,3,7,15,27,22,20,13,39,15,34,4
동인천,14,16,25,31,63,104,40,71,41,55,86,79,53
동해,9,3,3,3,30,30,34,96,51,137,89,66,17
